生产ID,西医病名,西医病名key,中医二级病名/症状锚点,阶段/状态轴,证型,证型证素,症状/入选条件,排除条件,方剂,方剂组成,加减,病理/证机概要,现代病理提示,trace_id,review_status
PROD_000016,C. difficile腹泻,c_difficile_colitis,泄泻,acute_phase;active_phase,食滞肠胃,食积停滞/胃肠失和,腹痛肠鸣；泻下臭如败卵；泻后痛减；嗳腐酸臭；苔厚腻,虚寒久泻,保和丸,山检（18g）；神曲（6g）；半夏（9g）；陈皮（3g）；连翘（3g）,,饮食停滞，胃肠失和，升降失司,消化道动力、炎症、黏膜屏障或菌群相关,v11_chain_xiexie_c_difficile_colitis_food_stagnation_intestine,需人工审核
PROD_000017,Hunt综合征**,huntzong_he_zheng,Hunt综合征**,common_phase,湿热壅阻耳络,湿热蕴结,伴口苦咽干；耳部患处肌肤灼热；刺痛；舌质红；脉弦数,,龙胆泻肝汤,柴胡9g；龙胆草9g；黄芩6g；栀子9g；泽泻15g；车前子12g；木通6g；生地15g；当归12g；其余药味:生甘草3g郁金12g,"+渗水不止：地锦草15g；+眩晕明显：钩藤10g；+热毒盛,可见舌芒刺、局部肌肤灼热等不适：贯众12g；+其他：板蓝根9g；+耳痛剧烈：乳香6g；+其他：没药9g；+伴耳聋：丹参12g；+其他：石菖蒲12g；+口眼喝斜明显：僵蚕6g；+其他：全蝎1只；+其他：蜈蚣1只",湿热蕴结,需结合M1诊断、严重度和红旗信号判断,ORIG_ORAL_228-02-01,原始库直入；结构抽样复核
PROD_000018,Hunt综合征**,huntzong_he_zheng,Hunt综合征**,acute_phase,风热外袭耳络,风热犯表/肺卫不宣,可伴发热；恶寒；刺痛；舌质红；脉浮数,,银翘散合五味消毒饮,金银花9g；连翘6g；桔梗6g；薄荷3g；牛蒡子10g；竹叶9g；荆芥穗6g；豆豉9g；生甘草3g；鲜芦根15g,+耳道胀痒：白鲜皮10g；+疱疹渗液多：海螵蛸12g；+伴口眼喝斜：桃仁12g；+其他：红花9g；+其他：旋覆花12g 泽兰叶9g 蜈蚣1条 全蝎1只 蝉蜕3g,风热犯表/肺卫不宣,需结合M1诊断、严重度和红旗信号判断,ORIG_ORAL_228-01-01,原始库直入；结构抽样复核
PROD_000019,IBD,ibd,泄泻,acute_phase,寒湿内盛,寒湿阻滞,泄泻清稀；腹痛肠鸣；恶寒发热；苔白腻,热泻臭秽,藿香正气散,[待补充],,寒湿阻滞,消化道动力、炎症、黏膜屏障或菌群相关,v11_chain_xiexie_ibd_cold_damp,需人工审核
PROD_000020,IBD,ibd,泄泻,acute_phase,湿热伤中,湿热蕴结,泄泻腹痛；泻下急迫或不爽；粪色黄褐臭秽；肛门灼热；苔黄腻,清稀不臭畏寒,葛根芩连汤,[待补充],,湿热蕴结,消化道动力、炎症、黏膜屏障或菌群相关,v11_chain_xiexie_ibd_damp_heat,需人工审核
PROD_000021,IBD,ibd,泄泻,chronic_phase;active_phase,肝气乘脾,肝郁乘脾/脾失健运,腹痛即泻；泻后痛减；情绪诱发；胸胁胀闷,高热血便,痛泻要方,[待补充],,肝气郁滞，横逆犯脾，运化失司,消化道动力、炎症、黏膜屏障或菌群相关,v11_chain_xiexie_ibd_liver_qi_spleen,需人工审核
PROD_000022,IBD,ibd,泄泻,chronic_phase,肾阳虚衰,阳气不足/温煦失司,黎明泄泻；腹痛即泻；泻后则安；腰膝酸冷；形寒肢冷,湿热臭秽,四神丸,肉豆范（6g）；补骨脂（12g）；五味子（6g）；吴莱萸浸（3g）,,阳气不足/温煦失司,消化道动力、炎症、黏膜屏障或菌群相关,v11_chain_xiexie_ibd_kidney_yang_deficiency,需人工审核
PROD_000023,IBD,ibd,泄泻,chronic_phase;recovery_phase,脾胃虚弱,脾气亏虚/运化失司,大便时溏时泻；迁延反复；食少纳呆；神疲乏力,湿热急泻,参苓白术散,[待补充],,脾气不足，运化失健，气血生化乏源,消化道动力、炎症、黏膜屏障或菌群相关,v11_chain_xiexie_ibd_spleen_stomach_weak,需人工审核
PROD_000024,IBD,ibd,泄泻,acute_phase;active_phase,食滞肠胃,食积停滞/胃肠失和,腹痛肠鸣；泻下臭如败卵；泻后痛减；嗳腐酸臭；苔厚腻,虚寒久泻,保和丸,山检（18g）；神曲（6g）；半夏（9g）；陈皮（3g）；连翘（3g）,,饮食停滞，胃肠失和，升降失司,消化道动力、炎症、黏膜屏障或菌群相关,v11_chain_xiexie_ibd_food_stagnation_intestine,需人工审核
PROD_000025,IgA肾病,iga_shen_bing,待挂载中医二级病名,common_phase,[待标注],[待补充],,外伤/破损,小蓟饮,[待补充],"+其他：小蓟饮子加减。 尿频 、 尿急 、 尿痛 、 腰痛者 , 用八正散加减。",[待补充],肾小球炎症、免疫复合物沉积或尿检异常相关,ZXNK_fx_00329,需人工审核
PROD_000026,IgA肾病,iga_shen_bing,待挂载中医二级病名,common_phase,[待标注],[待补充],,外伤/破损,泻心汤,[待补充],"+其他：泻心汤加减。 身重倦怠 , 身热不扬 , 暑湿甚者 , 用新加香薷饮加味；+其他：恶心呕吐,头身重者,藿香正气散加减。",[待补充],肾小球炎症、免疫复合物沉积或尿检异常相关,ZXNK_fx_00325,需人工审核
PROD_000027,IgA肾病,iga_shen_bing,待挂载中医二级病名,common_phase,[待标注],[待补充],,外伤/破损,八正散,[待补充],"+其他：小蓟饮子加减。 尿频 、 尿急 、 尿痛 、 腰痛者 , 用八正散加减。",[待补充],肾小球炎症、免疫复合物沉积或尿检异常相关,ZXNK_fx_00330,需人工审核
PROD_000028,IgA肾病,iga_shen_bing,待挂载中医二级病名,common_phase,[待标注],[待补充],,外伤/破损,新加香薷饮,[待补充],"+其他：泻心汤加减。 身重倦怠 , 身热不扬 , 暑湿甚者 , 用新加香薷饮加味；+其他：恶心呕吐,头身重者,藿香正气散加减。",[待补充],肾小球炎症、免疫复合物沉积或尿检异常相关,ZXNK_fx_00326,需人工审核
PROD_000029,IgA肾病,iga_shen_bing,待挂载中医二级病名,common_phase,[待标注],[待补充],,外伤/破损,藿香正气散,[待补充],"+其他：泻心汤加减。 身重倦怠 , 身热不扬 , 暑湿甚者 , 用新加香薷饮加味；+其他：恶心呕吐,头身重者,藿香正气散加减。",[待补充],肾小球炎症、免疫复合物沉积或尿检异常相关,ZXNK_fx_00327,需人工审核
PROD_000030,IgA肾病,iga_shen_bing,待挂载中医二级病名,common_phase,[待标注],[待补充],,外伤/破损,银翘散,[待补充],+其他：银翘散加减。,[待补充],肾小球炎症、免疫复合物沉积或尿检异常相关,ZXNK_fx_00323,需人工审核
PROD_000031,IgA肾病,iga_shen_bing,待挂载中医二级病名,common_phase,[待标注],[待补充],1.病因及发病机制 IgA肾病的病因与发病机制目前尚不完全清楚；多数患者发病前有呼吸道或消化道感染；之后出现血尿；IgA肾病患者血清中IgA1较正常人显著升高；肾小球系膜区有IgA免疫复合物或多聚IgA1 的沉积；IgA免疫复合物及多聚IgA1 与肾小球系膜细胞有较高亲和力；与系膜细胞结合后；诱导其分泌炎性因子；活化补体；导致IgA肾病的发生；另外；不同族群中IgA肾病发病率；病情进展速度和临床表现有较大差异；提示遗传因素可能参与IgA肾病的发病；2.病理 IgA肾病病理变化可表现为增生性肾小球肾炎的几乎所有病理类型；病变程度可轻重不一；主要病理类型为系膜增生性肾小球肾炎；轻者病变轻,外伤/破损,为主的免疫球蛋白在肾小球系膜区呈颗粒；为主的免疫球蛋白呈颗粒；代表方；银翘散；泻心汤；用新加香薷饮；藿香正气散；小蓟饮；用八正散；归脾汤,[待补充],,1.病因及发病机制 IgA肾病的病因与发病机制目前尚不完全清楚。 多数患者发病前有呼吸道或消化道感染 ，之后出现血尿。 IgA肾病患者血清中IgA1较正常人显著升高 ， 肾小球系膜区有IgA免疫复合物或多聚IgA1 的沉积 ， IgA免疫复合物及多聚IgA1 与肾小球系膜细胞有较高亲和力 ， 与系膜细胞结合后 ， 诱导其分泌炎性因子 、 活化补体 ， 导致IgA肾病的发生。 另外 ， 不同族群中IgA肾病发病率 、 病情进展速度和临床表现有较大差异，提示遗传因素可能参与IgA肾病的发病。 2.病理 IgA肾病病理变化可表现为增生性肾小球肾炎的几乎所有病理,感染/炎症反应；需结合严重度与红旗信号判断,ZXNK_disease_0046,需人工审核
PROD_000032,IgA肾病 (IgA Nephropathy),igashen_bing_iga_nephropathy,IgA肾病 (IgA Nephropathy),common_phase,下焦湿热,湿热蕴结,口干；尿血或镜下血尿；尿赤；舌红；脉滑数,烦热口渴；腹痛腹泻；神疲乏力；面色无华；镜下血尿或尿色深,小蓟饮子,生地黄30g；小蓟20g；滑石20g（包煎）；通草9g；蒲黄12g（包煎）；藕节15g；当归15g；炒栀子12g；生甘草6g,,湿热蕴结,肾小球炎症、免疫复合物沉积或尿检异常相关,ORIG_ORAL_429-02-02,原始库直入；结构抽样复核
PROD_000033,IgA肾病 (IgA Nephropathy),igashen_bing_iga_nephropathy,IgA肾病 (IgA Nephropathy),common_phase,气不摄血,气虚失固/摄血无权,神疲乏力；面色无华；镜下血尿或尿色深；舌淡体胖；脉沉细弱,烦热口渴；腹痛腹泻；尿血或镜下血尿；口干；尿赤,归脾汤,白术15g；茯神20g；黄芪30g；龙眼肉12g；酸枣仁6g；白人参9g；木香6g；生甘草6g；当归20g；其余药味:远志12g生姜6g,,气虚不摄，血失统摄而外溢,肾小球炎症、免疫复合物沉积或尿检异常相关,ORIG_ORAL_429-02-03,原始库直入；结构抽样复核
PROD_000034,IgA肾病 (IgA Nephropathy),igashen_bing_iga_nephropathy,IgA肾病 (IgA Nephropathy),chronic_phase,瘀血阻络,瘀血阻滞,腰部刺痛；面色晦滞；镜下血尿；舌边瘀紫；脉沉涩,,桃红四物汤合二至丸,桃仁12g；红花12g；当归15g；赤芍15g；熟地黄20g；川芎9g；女贞子12g；旱莲草20g,+气血瘀滞显著：枳壳6g；+其他：柴胡6g；+其他：生甘草6g 桔梗6g 川芎9g 牛膝12g,瘀血阻滞,肾小球炎症、免疫复合物沉积或尿检异常相关,ORIG_ORAL_429-03-01,原始库直入；结构抽样复核
PROD_000035,IgA肾病 (IgA Nephropathy),igashen_bing_iga_nephropathy,IgA肾病 (IgA Nephropathy),common_phase,胃肠湿热,湿热蕴结,烦热口渴；腹痛腹泻；尿血或镜下血尿；舌红；脉濡数,口干；尿赤；神疲乏力；面色无华；镜下血尿或尿色深,泻心汤,黄连9g；黄芩12g；生大黄6g（后下）；半夏12g；干姜9g；人参9g；大枣12g；炙甘草9g,,湿热蕴结,消化道动力、炎症、黏膜屏障或菌群相关,ORIG_ORAL_429-02-01,原始库直入；结构抽样复核
PROD_000036,IgA肾病 (IgA Nephropathy),igashen_bing_iga_nephropathy,IgA肾病 (IgA Nephropathy),common_phase,阴虚火旺,阴液亏虚/虚热内生,尿血色淡；或镜下血尿；腰酸乏力；舌红少苔；脉细数,烦热口渴；腹痛腹泻；尿血或镜下血尿；口干；尿赤,知柏地黄汤合二至丸,知母12g；黄柏9g；熟地黄25g；山茱萸12g；淮山药15g；茯苓15g；丹皮9g；泽泻12g；女贞子15g,"+若阴病及阳,见畏寒肢冷：枸杞15g；+其他：杜仲12g；+其他：菟丝子20g 制附片9g（先煎半小时） 肉桂6g 当归15g 鹿角胶9g",阴液亏虚/虚热内生,肾小球炎症、免疫复合物沉积或尿检异常相关,ORIG_ORAL_429-02-04,原始库直入；结构抽样复核
PROD_000037,IgA肾病 (IgA Nephropathy),igashen_bing_iga_nephropathy,IgA肾病 (IgA Nephropathy),acute_phase,风热扰络,风热犯表/肺卫不宣,发热；咽痛；咳嗽；舌尖红；脉浮数,,银翘散,金银花20g；连翘20g；桔梗9g；牛蒡子12g；竹叶9g；淡豆豉9g；芦根30g；生甘草6g；荆芥穗9g（后下）；薄荷6g,,风热犯表/肺卫不宣,气道黏膜炎症、分泌物增多或感染后气道敏感相关,ORIG_ORAL_429-01-01,原始库直入；结构抽样复核
PROD_000038,TIA,tia,中风,recovery_phase;chronic_phase,气虚血瘀,瘀血阻络；瘀血阻滞；气虚失固/推动无力,半身不遂日久；肢软乏力；气短自汗；舌淡紫或瘀斑,急性卒中未处理,补阳还五汤,黄苠生（120g）；归尾（6g）；赤芍（4.5g）；地龙（3g）；川笃（3g）；红花（3g）；桃仁（3g）,,瘀血阻络；瘀血阻滞；气虚失固/推动无力,神经系统功能异常、缺血或运动/感觉通路受累相关,v11_chain_zhongfeng_tia_qi_deficiency_blood_stasis,需人工审核
PROD_000039,TIA,tia,中风,chronic_phase;recovery_phase,肝肾亏虚,肝肾亏虚,后遗半身不遂；筋脉拘急；腰膝酸软；眩晕耳鸣,急性期,地黄饮子；左归丸,熟干地黄（18g）；巴戟（9g）；附子（6g）；五味子（6g）；麦门冬（6g）；石斛（9g）；远志（6g）；左归丸:大怀熟地（24g）；山药（12g）；袧杞（12g）；山莱萸肉（12g）；川牛（9g）；滑精者不用（12g）；鹿胶敲（12g）；龟胶（12g）,,肝肾不足，精血亏虚，筋脉失养,神经系统功能异常、缺血或运动/感觉通路受累相关,v11_chain_zhongfeng_tia_liver_kidney_deficiency,需人工审核
PROD_000040,TIA,tia,中风,severe_or_emergency,脱证,正气暴脱/阴阳离决,昏仆；目合口开；手撒肢冷；汗多；二便自遗；脉微欲绝,非急症,生脉散,麦冬（9g）；五味子（6g）；人参（9g）,,正气暴脱，阴阳失守，神机欲绝,神经系统功能异常、缺血或运动/感觉通路受累相关,v11_chain_zhongfeng_tia_collapse_syndrome,需红旗判断
PROD_000041,TIA,tia,中风,severe_or_emergency,阳闭,痰热闭窍/阳闭,突然昏仆；不省人事；牙关紧闭；面赤气粗；痰声；便秘；苔黄腻,恢复期后遗症,安宫牛黄丸；至宝丹,牛黄（30g）；郁金（30g）；黄连（30g）；朱砂（30g）；梅片（7.5g）；麝香（7.5g）；真珠（15g）；山枙（30g）；雄黄（30g）；黄芩（30g）；水牛角（30g）；至宝丹:生娥瑁（30g）；牛黄（0.3g）；安息香（30g）；麝香（0.3g）,,wei_qi_ying_xue,消化道动力、炎症、黏膜屏障或菌群相关,v11_chain_zhongfeng_tia_yang_block_pattern,需红旗判断
PROD_000042,TIA,tia,中风,recovery_phase;chronic_phase,阴虚风动,阴液亏虚/虚热内生,半身不遂；肢体麻木；眩晕耳鸣；手足心热；舌红少苔,痰热闭证,镇肝熄风汤,牛膝（30g）；生猪石轧细（30g）；龙骨（15g）；生牡舫捣（15g）；生龟板捣（15g）；生杭芍（15g）；玄参（15g）；天冬（15g）；川棵子捣（6g）；麦芽（6g）；茵陈（6g）；甘草（4.5g）,,阴液亏虚/虚热内生,神经系统功能异常、缺血或运动/感觉通路受累相关,v11_chain_zhongfeng_tia_yin_deficiency_wind_movement,需人工审核
PROD_000043,TIA,tia,中风,severe_or_emergency,阴闭,[待补充],突然昏仆；面白唇暗；静卧不烦；痰涎壅盛；四肢不温；苔白腻,热闭,苏合香丸,熏陆香（15g）；青木香（30g）；水牛角（30g）；安息香（30g）；苏合香（15g）；木香（30g）；沉香（30g）；附子（30g）；檀香（30g）；香附（30g）；麝香（30g）,,[待补充],神经系统功能异常、缺血或运动/感觉通路受累相关,v11_chain_zhongfeng_tia_yin_block_pattern,需红旗判断
PROD_000044,TIA,tia,中风,recovery_phase;chronic_phase,风痰入络,[待补充],半身不遂；口舌歪斜；舌强语謇；肢体麻木；苔腻,急性卒中未处理,真方白丸子,[待补充],,meridian_channel,神经系统功能异常、缺血或运动/感觉通路受累相关,v11_chain_zhongfeng_tia_wind_phlegm_entering_collaterals,需人工审核
PROD_000045,TIA,tia,中风,recovery_phase;chronic_phase,风阳上扰,[待补充],半身不遂；眩晕头痛；面红目赤；烦躁；脉弦,急性卒中未处理,天麻钩藤饮,天庥（9g）；钩藤（12g）；生决明先煎（18g）；山枙（9g）；牛膝（12g）；杜仲（9g）；桑寄生（9g）；益母草（9g）；黄芩（9g）,,[待补充],神经系统功能异常、缺血或运动/感觉通路受累相关,v11_chain_zhongfeng_tia_wind_yang_disturbing,需人工审核
PROD_000046,TIA,tia,眩晕,chronic_phase;recovery_phase,气血亏虚,气血两虚,眩晕动则加剧；劳累即发；面色少华；神疲乏力；心悸少寐,痰热/肝阳实证,归脾汤,白术（18g）；人参（9g）；甘草（6g）；当归（3g）；远志（3g）；龙眼肉（18g）；酸枣仁（18g）；木香（9g）,,气血亏虚，清窍肌肉失养,神经系统功能异常、缺血或运动/感觉通路受累相关,v11_chain_xuanyun_tia_qi_blood_deficiency,需人工审核
PROD_000047,TIA,tia,眩晕,active_phase;chronic_phase,痰湿中阻,痰湿阻滞,眩晕头重如蒙；胸闷恶心；呕吐痰涎；食少多寐；苔白腻,阴虚火旺,半夏白术天麻汤,半夏（9g）；天麻（6g）；白术（18g）；甘草（3g）,,痰湿阻滞,神经系统功能异常、缺血或运动/感觉通路受累相关,v11_chain_xuanyun_tia_phlegm_damp_middle,需人工审核
PROD_000048,TIA,tia,眩晕,chronic_phase;recovery_phase,瘀血阻窍,瘀血阻滞,眩晕头痛；痛有定处；舌暗瘀斑；或有外伤/久病,急性卒中红旗,通窍活血汤,[待补充],,瘀血阻滞,神经系统功能异常、缺血或运动/感觉通路受累相关,v11_chain_xuanyun_tia_blood_stasis_orifice,需人工审核
PROD_000049,TIA,tia,眩晕,active_phase;chronic_phase,肝阳上亢,肝阳上亢/风阳上扰,眩晕耳鸣；头痛胀；急躁易怒；失眠多梦；口苦；舌红,中枢红旗未排,天麻钩藤饮,天庥（9g）；钩藤（12g）；生决明先煎（18g）；山枙（9g）；牛膝（12g）；杜仲（9g）；桑寄生（9g）；益母草（9g）；黄芩（9g）,,肝肾阴亏，肝阳偏亢，上扰清窍,神经系统功能异常、缺血或运动/感觉通路受累相关,v11_chain_xuanyun_tia_liver_yang_hyperactivity,需人工审核
PROD_000050,TIA,tia,眩晕,chronic_phase,肾精不足,肾精亏虚,眩晕久发；精神萎靡；腰膝酸软；耳鸣；健忘,急性感染/中枢红旗,左归丸；右归丸,大怀熟地（24g）；山药（12g）；袧杞（12g）；山莱萸肉（12g）；川牛（9g）；滑精者不用（12g）；鹿胶敲（12g）；龟胶（12g）；右归丸:熟地黄（24g）；山茉萸微（9g）；袧杞子微（12g）；兔丝子（12g）；鹿角胶（12g）；杜仲（12g）；肉桂（6g）；当归（9g）；附子（6g）,,肾精不足，髓海失充，清窍失养,神经系统功能异常、缺血或运动/感觉通路受累相关,v11_chain_xuanyun_tia_kidney_essence_deficiency,需人工审核
PROD_000051,Vogt-小柳-原田综合征 (Vogt-Koyanagi-Harada Syndrome),vogt_xiao_liu_yuan_tian_zong_he_zheng_vogt_koyanagi_harada_syndrome,Vogt-小柳-原田综合征 (Vogt-Koyanagi-Harada Syndrome),common_phase,肝胆火炽,[待补充],口苦咽干；视网膜水肿；或兼有头痛耳鸣；舌红苔黄；脉弦数,或兼有心烦失眠；四肢躯干或面部皮肤散在性白斑；眼干涩不适,龙胆泻肝汤,龙胆草9g；黄芩9g；栀子6g；泽泻9g；木通9g；车前子12g；柴胡9g；当归12g；生甘草6g；生地黄15g,+头痛耳鸣较甚：石决明20g（先煎）；+其他：夏枯草12g；+玻璃体混浊及视网膜水肿较甚：淡竹叶9g；+其他：通草10g,[待补充],需结合M1诊断、严重度和红旗信号判断,ORIG_ORAL_539-02-01,原始库直入；结构抽样复核
PROD_000052,Vogt-小柳-原田综合征 (Vogt-Koyanagi-Harada Syndrome),vogt_xiao_liu_yuan_tian_zong_he_zheng_vogt_koyanagi_harada_syndrome,Vogt-小柳-原田综合征 (Vogt-Koyanagi-Harada Syndrome),common_phase,阴虚火旺,阴液亏虚/虚热内生,或兼有心烦失眠；四肢躯干或面部皮肤散在性白斑；眼干涩不适；舌红少苔；脉弦细数,口苦咽干；视网膜水肿；或兼有头痛耳鸣,滋阴降火汤,当归12g；川芎6g；生地黄15g；熟地黄20g；黄柏10g；知母12g；麦冬12g；白芍10g；黄芩9g；其余药味:柴胡9g生甘草6g,"+阴虚津伤,口干舌燥者：南沙参15g；+其他：天冬12g；+视物昏朦较甚：桑葚子20g；+其他：女贞子20g",阴液亏虚/虚热内生,需结合M1诊断、严重度和红旗信号判断,ORIG_ORAL_539-02-02,原始库直入；结构抽样复核
